Optical Power Monitor,,,,,,,
6.5.5217.15,,,,,,,
Delimiter Used: , ',',,,,,
,,,,,,,
Start of Measurement , 9/29/2025 16:00:38,,,,,,
Sample Interval , 10 s,,,,,,
, PM100D 250207512, PM100D 14101752,,,,,
Type, PM100D, PM100D,,,,,
Serialnumber, P0037408, P0009211,,,,,
Sensor, S121C, S121C,,,,,
SensorSerialnumber,250207512,14101752,,,,,
Wavelength / Responsivity, 852 nm, 852 nm,,,,,
,,,,,,,
,,,PM100D 250207512, PM100D 250207512, PM100D 14101752, PM100D 14101752, 
Samples ,Date,Time,7512Power (W),7512Temperature (°C),1752Power (W),1752Temperature (°C),
99, 9/29/2025, 16:17:10.752,0.017313,22.013,0.03392,21.86,
100, 9/29/2025, 16:17:20.782,0.017309,22.011,0.033935,21.844,
101, 9/29/2025, 16:17:30.788,0.017312,22.006,0.033921,21.828,
102, 9/29/2025, 16:17:40.792,0.01731,22.005,0.033932,21.816,
103, 9/29/2025, 16:17:50.809,0.017296,22.004,0.033926,21.807,
104, 9/29/2025, 16:18:00.818,0.017304,21.995,0.033925,21.814,
105, 9/29/2025, 16:18:10.837,0.017308,21.999,0.033927,21.81,
106, 9/29/2025, 16:18:20.838,0.017315,21.997,0.033922,21.81,
107, 9/29/2025, 16:18:30.855,0.017308,21.999,0.033935,21.811,
108, 9/29/2025, 16:18:40.861,0.01731,21.992,0.033929,21.817,
109, 9/29/2025, 16:18:50.872,0.017313,21.994,0.033915,21.82,
110, 9/29/2025, 16:19:00.889,0.017308,22.004,0.033909,21.827,
111, 9/29/2025, 16:19:10.917,0.017318,21.998,0.033917,21.839,
112, 9/29/2025, 16:19:20.945,0.017306,21.998,0.033917,21.842,
113, 9/29/2025, 16:19:30.954,0.017308,21.999,0.033911,21.852,
114, 9/29/2025, 16:19:40.957,0.01731,21.996,0.033915,21.85,
115, 9/29/2025, 16:19:50.984,0.017304,21.997,0.033911,21.856,
116, 9/29/2025, 16:20:01.012,0.017305,21.993,0.033916,21.863,
117, 9/29/2025, 16:20:11.033,0.017307,21.997,0.033918,21.867,
118, 9/29/2025, 16:20:21.046,0.017293,21.995,0.033914,21.863,
119, 9/29/2025, 16:20:31.074,0.017309,21.995,0.033926,21.85,
120, 9/29/2025, 16:20:41.084,0.017312,21.996,0.033922,21.831,
121, 9/29/2025, 16:20:51.102,0.017312,21.993,0.033931,21.824,
122, 9/29/2025, 16:21:01.117,0.017307,21.988,0.033937,21.816,
123, 9/29/2025, 16:21:11.121,0.017311,21.992,0.033933,21.807,
124, 9/29/2025, 16:21:21.121,0.017305,21.996,0.033922,21.804,
125, 9/29/2025, 16:21:31.134,0.017299,21.99,0.033931,21.801,
126, 9/29/2025, 16:21:41.145,0.017316,21.99,0.033934,21.8,
127, 9/29/2025, 16:21:51.159,0.017318,21.99,0.033923,21.802,
128, 9/29/2025, 16:22:01.188,0.017306,21.988,0.033923,21.8,
129, 9/29/2025, 16:22:11.191,0.0173,21.988,0.033937,21.793,
130, 9/29/2025, 16:22:21.214,0.017302,21.985,0.033923,21.792,
131, 9/29/2025, 16:22:31.224,0.017298,21.983,0.033934,21.791,
132, 9/29/2025, 16:22:41.232,0.017311,21.981,0.033927,21.79,
133, 9/29/2025, 16:22:51.247,0.01731,21.977,0.033928,21.797,
134, 9/29/2025, 16:23:01.272,0.017317,21.976,0.033921,21.798,
135, 9/29/2025, 16:23:11.280,0.017316,21.974,0.033924,21.798,
136, 9/29/2025, 16:23:21.310,0.017311,21.974,0.03392,21.799,
137, 9/29/2025, 16:23:31.337,0.017318,21.965,0.033923,21.799,
138, 9/29/2025, 16:23:41.363,0.017318,21.96,0.033916,21.801,
139, 9/29/2025, 16:23:51.383,0.017318,21.972,0.033932,21.801,
140, 9/29/2025, 16:24:01.411,0.01731,21.968,0.033918,21.801,
141, 9/29/2025, 16:24:11.438,0.017315,21.97,0.033923,21.802,
142, 9/29/2025, 16:24:21.450,0.017311,21.968,0.033922,21.802,
143, 9/29/2025, 16:24:31.476,0.017309,21.969,0.033919,21.804,
144, 9/29/2025, 16:24:41.488,0.017299,21.969,0.033927,21.802,
145, 9/29/2025, 16:24:51.507,0.017301,21.975,0.033925,21.802,
146, 9/29/2025, 16:25:01.523,0.01731,21.976,0.03393,21.802,
147, 9/29/2025, 16:25:11.524,0.017312,21.97,0.033928,21.8,
148, 9/29/2025, 16:25:21.541,0.017309,21.96,0.033936,21.799,
149, 9/29/2025, 16:25:31.555,0.017301,21.961,0.033926,21.796,
150, 9/29/2025, 16:25:41.565,0.0173,21.962,0.033932,21.79,
151, 9/29/2025, 16:25:51.579,0.017316,21.965,0.033938,21.775,
152, 9/29/2025, 16:26:01.597,0.017312,21.955,0.033941,21.765,
153, 9/29/2025, 16:26:11.602,0.017314,21.961,0.03394,21.749,
154, 9/29/2025, 16:26:21.626,0.017309,21.952,0.033941,21.736,
155, 9/29/2025, 16:26:31.628,0.017316,21.949,0.033945,21.731,
156, 9/29/2025, 16:26:41.637,0.017294,21.946,0.033936,21.728,
157, 9/29/2025, 16:26:51.641,0.017316,21.941,0.033946,21.725,
158, 9/29/2025, 16:27:01.668,0.017314,21.942,0.033937,21.727,
159, 9/29/2025, 16:27:11.670,0.017316,21.943,0.033935,21.727,
160, 9/29/2025, 16:27:21.696,0.017311,21.939,0.033931,21.734,
161, 9/29/2025, 16:27:31.702,0.017313,21.931,0.033929,21.736,
162, 9/29/2025, 16:27:41.712,0.017309,21.932,0.033923,21.735,
163, 9/29/2025, 16:27:51.730,0.017317,21.93,0.033931,21.738,
164, 9/29/2025, 16:28:01.738,0.017316,21.929,0.033929,21.754,
165, 9/29/2025, 16:28:11.746,0.017306,21.933,0.033932,21.767,
166, 9/29/2025, 16:28:21.759,0.017308,21.935,0.03392,21.768,
167, 9/29/2025, 16:28:31.768,0.017316,21.939,0.033923,21.778,
168, 9/29/2025, 16:28:41.777,0.017312,21.927,0.033927,21.781,
169, 9/29/2025, 16:28:51.791,0.017312,21.927,0.033929,21.781,
170, 9/29/2025, 16:29:01.801,0.01731,21.928,0.03393,21.788,
171, 9/29/2025, 16:29:11.818,0.017311,21.931,0.033926,21.783,
172, 9/29/2025, 16:29:21.824,0.017309,21.936,0.033934,21.766,
173, 9/29/2025, 16:29:31.839,0.017303,21.936,0.033933,21.761,
174, 9/29/2025, 16:29:41.839,0.017311,21.927,0.033935,21.749,
175, 9/29/2025, 16:29:51.864,0.017309,21.924,0.033941,21.74,
176, 9/29/2025, 16:30:01.880,0.0173,21.925,0.03394,21.735,
177, 9/29/2025, 16:30:11.895,0.017311,21.929,0.03394,21.726,
178, 9/29/2025, 16:30:21.897,0.017314,21.932,0.033936,21.725,
179, 9/29/2025, 16:30:31.928,0.017315,21.931,0.033933,21.722,
180, 9/29/2025, 16:30:41.953,0.017307,21.923,0.033944,21.721,
181, 9/29/2025, 16:30:51.969,0.017314,21.922,0.033934,21.717,
182, 9/29/2025, 16:31:01.977,0.017307,21.919,0.033938,21.715,
183, 9/29/2025, 16:31:11.994,0.017309,21.914,0.033936,21.71,
184, 9/29/2025, 16:31:21.996,0.017309,21.909,0.033937,21.715,
185, 9/29/2025, 16:31:31.997,0.017308,21.911,0.033927,21.717,
186, 9/29/2025, 16:31:42.020,0.017311,21.911,0.033931,21.72,
187, 9/29/2025, 16:31:52.026,0.017308,21.911,0.033931,21.719,
188, 9/29/2025, 16:32:02.041,0.017309,21.91,0.033929,21.722,
189, 9/29/2025, 16:32:12.055,0.017308,21.914,0.033932,21.722,
190, 9/29/2025, 16:32:22.065,0.017314,21.909,0.033924,21.723,
191, 9/29/2025, 16:32:32.088,0.017311,21.912,0.033929,21.724,
192, 9/29/2025, 16:32:42.110,0.01731,21.905,0.033925,21.723,
193, 9/29/2025, 16:32:52.140,0.017311,21.903,0.033922,21.725,
194, 9/29/2025, 16:33:02.151,0.017312,21.906,0.033925,21.728,
195, 9/29/2025, 16:33:12.168,0.017309,21.904,0.033919,21.728,
196, 9/29/2025, 16:33:22.175,0.01731,21.906,0.03392,21.737,
197, 9/29/2025, 16:33:32.189,0.017309,21.903,0.033921,21.739,
198, 9/29/2025, 16:33:42.215,0.01731,21.907,0.033927,21.734,
199, 9/29/2025, 16:33:52.227,0.017318,21.904,0.033929,21.73,
200, 9/29/2025, 16:34:02.231,0.017311,21.908,0.033934,21.725,
201, 9/29/2025, 16:34:12.254,0.017308,21.906,0.033929,21.725,
202, 9/29/2025, 16:34:22.280,0.017304,21.909,0.033942,21.722,
203, 9/29/2025, 16:34:32.305,0.017313,21.903,0.03394,21.723,
204, 9/29/2025, 16:34:42.306,0.017307,21.906,0.033937,21.718,
205, 9/29/2025, 16:34:52.326,0.01731,21.905,0.033942,21.714,
206, 9/29/2025, 16:35:02.354,0.017304,21.902,0.03394,21.696,
207, 9/29/2025, 16:35:12.363,0.017303,21.903,0.033945,21.674,
208, 9/29/2025, 16:35:22.389,0.017318,21.907,0.033941,21.659,
209, 9/29/2025, 16:35:32.419,0.017316,21.904,0.033946,21.656,
210, 9/29/2025, 16:35:42.439,0.017305,21.9,0.033941,21.646,
211, 9/29/2025, 16:35:52.452,0.017309,21.899,0.033949,21.642,
212, 9/29/2025, 16:36:02.468,0.017315,21.898,0.033944,21.641,
213, 9/29/2025, 16:36:12.497,0.017312,21.895,0.033949,21.636,
214, 9/29/2025, 16:36:22.511,0.017304,21.895,0.033955,21.623,
215, 9/29/2025, 16:36:32.525,0.017315,21.89,0.033956,21.603,
216, 9/29/2025, 16:36:42.553,0.017316,21.89,0.033949,21.583,
217, 9/29/2025, 16:36:52.560,0.017314,21.889,0.03395,21.578,
218, 9/29/2025, 16:37:02.564,0.017317,21.886,0.033958,21.569,
219, 9/29/2025, 16:37:12.582,0.017312,21.889,0.033956,21.571,
220, 9/29/2025, 16:37:22.613,0.017312,21.877,0.033956,21.566,
221, 9/29/2025, 16:37:32.618,0.017321,21.883,0.033957,21.566,
222, 9/29/2025, 16:37:42.631,0.017317,21.878,0.033956,21.564,
223, 9/29/2025, 16:37:52.660,0.017304,21.875,0.033953,21.561,
224, 9/29/2025, 16:38:02.675,0.017306,21.868,0.033953,21.561,
225, 9/29/2025, 16:38:12.676,0.017315,21.863,0.033955,21.555,
226, 9/29/2025, 16:38:22.698,0.017313,21.863,0.033955,21.558,
227, 9/29/2025, 16:38:32.711,0.017317,21.848,0.033952,21.561,
228, 9/29/2025, 16:38:42.729,0.017318,21.855,0.033949,21.564,
229, 9/29/2025, 16:38:52.742,0.017314,21.846,0.033946,21.567,
230, 9/29/2025, 16:39:02.749,0.017316,21.849,0.033944,21.567,
231, 9/29/2025, 16:39:12.776,0.017316,21.854,0.033941,21.569,
232, 9/29/2025, 16:39:22.777,0.017312,21.841,0.033941,21.572,
233, 9/29/2025, 16:39:32.789,0.017319,21.844,0.033938,21.575,
234, 9/29/2025, 16:39:42.796,0.017317,21.841,0.033935,21.578,
235, 9/29/2025, 16:39:52.819,0.017314,21.841,0.033934,21.585,
236, 9/29/2025, 16:40:02.829,0.017313,21.835,0.033932,21.588,
237, 9/29/2025, 16:40:12.844,0.01731,21.833,0.033936,21.605,
238, 9/29/2025, 16:40:22.870,0.017314,21.841,0.033933,21.618,
239, 9/29/2025, 16:40:32.871,0.017311,21.835,0.033933,21.621,
240, 9/29/2025, 16:40:42.901,0.017313,21.843,0.033935,21.624,
241, 9/29/2025, 16:40:52.909,0.017306,21.833,0.033936,21.615,
242, 9/29/2025, 16:41:02.924,0.01731,21.837,0.033933,21.608,
243, 9/29/2025, 16:41:12.940,0.017305,21.835,0.033935,21.594,
244, 9/29/2025, 16:41:22.966,0.017304,21.831,0.033933,21.593,
245, 9/29/2025, 16:41:32.992,0.017303,21.828,0.033938,21.586,
246, 9/29/2025, 16:41:43.013,0.017311,21.834,0.033937,21.576,
247, 9/29/2025, 16:41:53.015,0.017311,21.834,0.033937,21.57,
248, 9/29/2025, 16:42:03.020,0.01731,21.835,0.033938,21.568,
249, 9/29/2025, 16:42:13.037,0.017304,21.825,0.033936,21.566,
250, 9/29/2025, 16:42:23.051,0.017308,21.824,0.033934,21.565,
251, 9/29/2025, 16:42:33.069,0.017301,21.822,0.033936,21.562,
252, 9/29/2025, 16:42:43.081,0.017313,21.823,0.03394,21.551,
253, 9/29/2025, 16:42:53.085,0.017314,21.82,0.03394,21.536,
254, 9/29/2025, 16:43:03.091,0.017309,21.821,0.033941,21.527,
255, 9/29/2025, 16:43:13.102,0.017308,21.815,0.033938,21.506,
256, 9/29/2025, 16:43:23.107,0.017299,21.812,0.033939,21.496,
257, 9/29/2025, 16:43:33.130,0.017304,21.812,0.033943,21.491,
258, 9/29/2025, 16:43:43.130,0.017316,21.81,0.033943,21.491,
259, 9/29/2025, 16:43:53.148,0.017314,21.811,0.033949,21.49,
260, 9/29/2025, 16:44:03.172,0.017303,21.811,0.033944,21.487,
261, 9/29/2025, 16:44:13.200,0.017307,21.804,0.033939,21.488,
262, 9/29/2025, 16:44:23.227,0.017303,21.804,0.033943,21.488,
263, 9/29/2025, 16:44:33.233,0.017316,21.801,0.03394,21.489,
264, 9/29/2025, 16:44:43.248,0.017317,21.803,0.033937,21.488,
265, 9/29/2025, 16:44:53.275,0.017314,21.803,0.033936,21.491,
266, 9/29/2025, 16:45:03.300,0.017312,21.8,0.033931,21.495,
267, 9/29/2025, 16:45:13.323,0.017315,21.805,0.033935,21.497,
268, 9/29/2025, 16:45:23.337,0.01731,21.799,0.033926,21.511,
269, 9/29/2025, 16:45:33.363,0.017319,21.798,0.033927,21.521,
270, 9/29/2025, 16:45:43.384,0.017312,21.799,0.033928,21.528,
271, 9/29/2025, 16:45:53.395,0.017307,21.8,0.033926,21.545,
272, 9/29/2025, 16:46:03.424,0.017311,21.798,0.033925,21.555,
273, 9/29/2025, 16:46:13.431,0.017313,21.803,0.033923,21.559,
274, 9/29/2025, 16:46:23.451,0.017306,21.8,0.033923,21.563,
275, 9/29/2025, 16:46:33.472,0.017304,21.793,0.033925,21.564,
276, 9/29/2025, 16:46:43.481,0.017297,21.802,0.033926,21.565,
277, 9/29/2025, 16:46:53.492,0.017293,21.799,0.033926,21.564,
278, 9/29/2025, 16:47:03.513,0.017308,21.801,0.033921,21.562,
279, 9/29/2025, 16:47:13.517,0.017303,21.799,0.033923,21.561,
